stat_id,game_id,player_id,team_id,minutes_played,points,rebounds_off,rebounds_def,assists,steals,blocks,turnovers,fouls,fgm,fga,fg3m,fg3a,ftm,fta,plus_minus,is_starter
4289,160,532,12,34.7,25,0,3,5,3,2,2,2,11,21,3,7,0,1,-5,t
4290,160,2954,12,28.6,16,1,2,9,0,1,0,1,8,11,0,1,0,0,4,f
4291,160,2601,12,11.7,2,0,3,3,0,0,0,1,1,4,0,2,0,0,0,f
4292,160,935,12,21.7,5,1,1,1,0,1,1,1,1,4,0,1,3,3,-5,f
4293,160,522,12,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,-3,f
4294,160,2876,12,19.1,5,0,4,0,1,0,2,2,2,5,1,2,0,0,-2,f
4295,160,361,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4296,160,4743,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4297,160,1638,8,32.8,8,6,3,2,1,0,0,2,2,10,0,0,4,5,2,t
4298,160,1702,8,27.5,12,0,2,1,0,1,1,1,4,11,0,3,4,4,6,t
4299,160,1699,8,21.6,2,0,7,2,0,1,2,2,1,5,0,3,0,0,3,t
4300,160,254,8,33.9,30,0,6,3,2,0,2,2,11,19,6,9,2,2,7,t
4301,160,3198,8,30.3,10,1,2,4,1,0,2,0,4,10,2,4,0,0,11,t
4302,160,1179,8,24.7,6,2,2,2,1,0,1,2,3,5,0,1,0,0,-1,f
4303,160,3340,8,20.5,19,2,3,0,0,1,0,1,7,10,2,3,3,4,-3,f
4304,160,2131,8,21.9,12,0,3,4,0,0,1,1,3,8,2,5,4,5,-2,f
4305,160,688,8,7.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-6,f
4306,160,3843,8,14.9,2,0,0,0,0,1,0,2,1,4,0,1,0,0,-4,f
4307,160,2079,8,4.9,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2,f
4308,160,409,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4309,161,341,9,35.7,16,5,4,3,1,0,0,1,6,17,2,9,2,2,14,t
4310,161,1669,9,34.6,35,0,5,3,0,2,1,2,12,23,4,9,7,9,8,t
4311,161,4344,9,14.9,4,3,5,1,1,1,0,5,2,3,0,0,0,0,0,t
4312,161,1912,9,30.9,4,1,0,3,0,0,1,3,1,4,1,3,1,2,1,t
4313,161,971,9,30.5,20,1,3,3,2,1,4,3,8,18,4,8,0,0,1,t
4314,161,2170,9,18.8,8,2,6,4,0,1,0,1,3,6,0,3,2,2,9,f
4315,161,3439,9,25.7,13,2,4,1,2,1,2,6,5,11,3,6,0,2,-8,f
4316,161,2406,9,17.4,5,0,2,5,0,0,5,3,2,5,1,3,0,1,10,f
4317,161,2163,9,15.7,0,0,0,0,0,0,0,1,0,3,0,3,0,0,3,f
4318,161,2774,9,15.8,7,2,4,0,0,0,1,1,3,7,1,4,0,0,2,f
4319,161,1114,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4320,161,2992,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4321,161,4422,11,28.7,14,4,4,1,2,1,1,4,4,9,0,1,6,9,9,t
4322,161,5042,11,37.3,20,2,7,3,0,0,0,2,7,14,3,6,3,6,0,t
4323,161,4463,11,27.0,6,0,4,1,1,2,1,4,3,4,0,1,0,0,-14,t
4324,161,1700,11,37.9,23,1,4,2,0,0,2,2,8,20,3,11,4,4,0,t
4325,161,3648,11,35.8,18,1,4,5,1,1,5,2,4,11,2,5,8,14,-8,t
4326,161,1641,11,29.6,11,0,1,1,0,0,2,2,4,9,2,5,1,1,-10,f
4327,161,3374,11,11.8,0,0,4,1,1,1,1,2,0,2,0,1,0,0,-9,f
4328,161,2068,11,18.7,8,0,2,2,0,0,1,1,3,9,2,4,0,0,-13,f
4329,161,802,11,4.5,2,0,0,1,0,0,0,1,1,1,0,0,0,0,6,f
4330,161,2875,11,8.7,2,0,4,0,0,0,0,0,1,3,0,0,0,0,-1,f
4331,161,159,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4332,161,536,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4333,161,1552,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4334,162,654,16,12.0,7,0,0,1,2,0,0,0,1,3,0,1,5,5,-3,t
4335,162,4591,16,38.4,10,4,9,2,1,0,2,4,4,7,0,1,2,2,4,t
4336,162,25,16,33.6,28,2,8,4,6,0,4,6,9,20,0,0,10,11,3,t
4337,162,3871,16,45.3,12,1,5,3,3,1,0,3,4,16,3,13,1,3,0,t
4338,162,2756,16,46.5,18,0,6,11,1,0,4,4,5,14,2,10,6,7,0,t
4339,162,1080,16,9.8,4,2,3,0,0,0,0,3,2,3,0,0,0,4,-8,f
4340,162,1964,16,42.0,27,1,3,3,0,0,3,1,11,22,5,8,0,0,-8,f
4341,162,2863,16,14.6,2,1,1,2,0,1,0,1,1,5,0,3,0,0,-7,f
4342,162,4669,16,13.3,4,0,0,0,1,0,1,1,1,3,0,1,2,2,1,f
4343,162,1888,16,5.1,2,0,0,0,0,0,0,2,1,2,0,0,0,0,-5,f
4344,162,5103,16,4.4,3,0,1,0,0,0,0,0,1,1,0,0,1,1,8,f
4345,162,3420,16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4346,162,283,14,21.9,2,0,2,0,1,0,1,3,1,4,0,3,0,0,-6,t
4347,162,1019,14,44.5,24,5,8,4,1,1,4,3,10,23,1,2,3,4,-4,t
4348,162,2395,14,11.2,1,1,4,0,0,0,1,2,0,0,0,0,1,2,0,t
4349,162,473,14,38.7,17,0,3,2,1,1,2,2,6,12,5,8,0,0,0,t
4350,162,4836,14,43.4,25,1,11,14,1,2,8,5,10,22,3,7,2,2,10,t
4351,162,3159,14,34.5,27,0,6,3,0,1,3,3,10,13,4,7,3,4,12,f
4352,162,118,14,37.7,12,0,6,1,1,0,1,2,5,12,1,5,1,2,13,f
4353,162,1285,14,21.8,12,0,0,2,0,0,0,1,4,6,4,6,0,0,-15,f
4354,162,2074,14,11.4,0,2,1,0,0,1,2,6,0,0,0,0,0,2,5,f
4355,162,1171,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4356,162,3759,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4357,162,3916,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4358,163,60,17,28.1,15,1,4,2,0,1,2,2,5,13,5,11,0,0,7,t
4359,163,115,17,37.6,15,2,13,8,1,2,3,4,5,15,2,5,3,4,21,t
4360,163,3651,17,24.1,17,2,3,0,0,0,1,3,6,11,3,5,2,4,-1,t
