history_id,player_id,team_id,season_id,start_date,end_date,contract_type
2575,4936,21,3,2023-10-24,,Standard
2576,4936,21,4,2024-10-22,,Standard
2577,4936,21,5,2025-10-21,,Standard
2578,3884,16,2,2022-10-18,,Standard
2579,3884,16,3,2023-10-24,,Standard
2580,3884,26,4,2024-10-22,,Standard
2581,3884,28,4,2024-10-22,,Standard
2582,3884,22,5,2025-10-21,,Standard
2583,201,10,2,2022-10-18,,Standard
2584,201,30,3,2023-10-24,,Standard
2585,201,30,4,2024-10-22,,Standard
2586,201,13,4,2024-10-22,,Standard
2587,201,13,5,2025-10-21,,Standard
2588,201,23,5,2025-10-21,,Standard
2589,201,26,5,2025-10-21,,Standard
2590,2467,29,2,2022-10-18,,Standard
2591,2467,29,3,2023-10-24,,Standard
2592,2467,29,4,2024-10-22,,Standard
2593,2467,29,5,2025-10-21,,Standard
2594,4940,21,2,2022-10-18,,Standard
2595,4940,21,3,2023-10-24,,Standard
2596,4940,21,4,2024-10-22,,Standard
2597,4940,21,5,2025-10-21,,Standard
2598,1059,2,2,2022-10-18,,Standard
2599,1059,2,3,2023-10-24,,Standard
2600,1059,2,4,2024-10-22,,Standard
2601,1059,11,5,2025-10-21,,Standard
2602,2988,4,2,2022-10-18,,Standard
2603,2988,4,3,2023-10-24,,Standard
2604,2988,25,4,2024-10-22,,Standard
2605,2988,19,5,2025-10-21,,Standard
2606,449,16,2,2022-10-18,,Standard
2607,449,30,2,2022-10-18,,Standard
2608,449,25,3,2023-10-24,,Standard
2609,449,27,3,2023-10-24,,Standard
2610,449,17,4,2024-10-22,,Standard
2611,449,24,5,2025-10-21,,Standard
2612,4372,8,3,2023-10-24,,Standard
2613,4372,8,4,2024-10-22,,Standard
2614,4372,8,5,2025-10-21,,Standard
2615,2749,25,5,2025-10-21,,Standard
2616,2145,27,4,2024-10-22,,Standard
2617,2145,27,5,2025-10-21,,Standard
2618,496,8,2,2022-10-18,,Standard
2619,496,8,3,2023-10-24,,Standard
2620,496,8,4,2024-10-22,,Standard
2621,496,8,5,2025-10-21,,Standard
2622,4584,12,3,2023-10-24,,Standard
2623,4584,29,4,2024-10-22,,Standard
2624,4584,29,5,2025-10-21,,Standard
2625,2537,28,2,2022-10-18,,Standard
2626,2537,14,4,2024-10-22,,Standard
2627,2537,14,5,2025-10-21,,Standard
2628,2537,15,5,2025-10-21,,Standard
2629,2537,1,5,2025-10-21,,Standard
2630,4711,25,2,2022-10-18,,Standard
2631,4711,25,3,2023-10-24,,Standard
2632,4711,25,4,2024-10-22,,Standard
2633,4711,23,5,2025-10-21,,Standard
2634,3913,10,2,2022-10-18,,Standard
2635,3913,30,3,2023-10-24,,Standard
2636,3913,17,3,2023-10-24,,Standard
2637,3913,17,4,2024-10-22,,Standard
2638,3913,17,5,2025-10-21,,Standard
2639,3104,18,3,2023-10-24,,Standard
