full_name,team_name,position,season,avg_pts,avg_reb,avg_ast,per
DeMar DeRozan,San Antonio Spurs,SG,2020-21,19.35,3.81,6.21,22.68
Kristaps Porziņģis,Dallas Mavericks,PF,2020-21,16.96,7.47,1.33,22.67
Paul George,Los Angeles Clippers,SF,2019-20,20.66,5.44,3.70,22.67
Julius Randle,New York Knicks,PF,2020-21,24.11,10.20,6.01,22.64
Jamal Murray,Denver Nuggets,SG,2023-24,21.19,4.10,6.51,22.58
Daniel Gafford,Washington Wizards,PF,2021-22,9.15,5.50,0.92,22.56
Willy Hernangomez,Charlotte Hornets,C,2019-20,2.92,2.06,0.45,22.51
Mitchell Robinson,New York Knicks,C,2019-20,9.67,7.02,0.59,22.49
Isaiah Hartenstein,Cleveland Cavaliers,C,2020-21,5.50,4.00,1.67,22.48
Kristaps Porziņģis,Dallas Mavericks,PF,2019-20,19.73,9.15,1.73,22.46
JaVale McGee,Sacramento Kings,C,2023-24,2.28,1.56,0.21,22.41
Jusuf Nurkić,Phoenix Suns,C,2023-24,10.77,10.87,3.91,22.41
Chris Boucher,Toronto Raptors,SF,2020-21,12.98,6.41,1.00,22.38
Bam Adebayo,Miami Heat,C,2022-23,19.35,8.71,3.04,22.36
Trae Young,Atlanta Hawks,SG,2023-24,22.40,2.40,9.40,22.35
Jaren Jackson Jr.,Memphis Grizzlies,PF,2022-23,18.62,6.76,0.95,22.34
Myles Turner,Indiana Pacers,C,2022-23,16.61,6.96,1.33,22.34
Isaiah Jackson,Indiana Pacers,SF,2023-24,4.85,3.01,0.63,22.32
Marquese Chriss,Golden State Warriors,SF,2019-20,8.98,5.98,1.87,22.30
Tyrese Haliburton,Indiana Pacers,SG,2021-22,17.46,4.31,9.58,22.29
Thaddeus Young,Chicago Bulls,SF,2020-21,11.93,6.13,4.22,22.27
Kyrie Irving,Brooklyn Nets,SG,2022-23,26.44,4.98,5.15,22.26
Ivica Zubac,Los Angeles Clippers,C,2023-24,11.18,8.82,1.31,22.23
Shai Gilgeous-Alexander,Oklahoma City Thunder,SG,2021-22,24.48,4.96,5.91,22.22
Nic Claxton,Brooklyn Nets,C,2023-24,11.21,9.41,1.96,22.21
Tony Bradley,Utah Jazz,C,2019-20,4.13,3.87,0.33,22.21
Day'Ron Sharpe,Brooklyn Nets,C,2021-22,3.47,2.81,0.30,22.19
Donovan Mitchell,Cleveland Cavaliers,SG,2022-23,27.46,4.13,4.30,22.17
Ivica Zubac,Los Angeles Clippers,C,2021-22,10.33,8.47,1.58,22.15
Paul George,Los Angeles Clippers,SF,2020-21,20.98,5.98,4.67,22.14
Bruno Caboclo,Houston Rockets,SF,2019-20,2.00,1.14,0.14,22.14
Alperen Sengun,Houston Rockets,C,2022-23,14.59,8.92,3.83,22.09
Jakob Poeltl,Toronto Raptors,C,2023-24,11.10,8.58,2.54,22.08
